1984,1,1,0.1,3.7184,0.33712,10
1985,1,2,0.2,4.1584,0.40051,9
1983,1,3,0.3,4.4756,0.44621,8
1986,1,4,0.4,4.7467,0.48526,7
1988,1,5,0.5,5,0.52176,6
1992,1,6,0.6,5.2533,0.55826,5
1989,1,7,0.7,5.5244,0.59731,4
1987,1,8,0.8,5.8416,0.64302,3
1991,1,9,0.9,6.2816,0.7064,2
1990,1,10,0.975,6.96,0.80414,1
